WEEK,REGION,COUNTRY,ADMIN1,EVENT_TYPE,SUB_EVENT_TYPE,EVENTS,FATALITIES,POPULATION_EXPOSURE,DISORDER_TYPE,ID,CENTROID_LATITUDE,CENTROID_LONGITUDE
2023-06-17,Eastern Africa,Kenya,Baringo,Protests,Peaceful protest,1,0,3912.0,Demonstrations,1535.0,0.7197,36.0185
2023-09-30,Eastern Africa,Kenya,Baringo,Protests,Peaceful protest,1,0,346.0,Demonstrations,1535.0,0.7197,36.0185
2023-10-28,Eastern Africa,Kenya,Baringo,Protests,Peaceful protest,2,0,7817.0,Demonstrations,1535.0,0.7197,36.0185
2023-11-25,Eastern Africa,Kenya,Baringo,Protests,Peaceful protest,2,0,7143.0,Demonstrations,1535.0,0.7197,36.0185
2023-12-16,Eastern Africa,Kenya,Baringo,Protests,Peaceful protest,1,0,1908.0,Demonstrations,1535.0,0.7197,36.0185
2024-01-06,Eastern Africa,Kenya,Baringo,Protests,Peaceful protest,1,0,823.0,Demonstrations,1535.0,0.7197,36.0185
2024-01-20,Eastern Africa,Kenya,Baringo,Protests,Peaceful protest,1,0,1081.0,Demonstrations,1535.0,0.7197,36.0185
2024-01-27,Eastern Africa,Kenya,Baringo,Protests,Peaceful protest,1,0,1081.0,Demonstrations,1535.0,0.7197,36.0185
2024-02-10,Eastern Africa,Kenya,Baringo,Protests,Peaceful protest,1,0,1908.0,Demonstrations,1535.0,0.7197,36.0185
2024-02-17,Eastern Africa,Kenya,Baringo,Protests,Peaceful protest,2,0,9051.0,Demonstrations,1535.0,0.7197,36.0185
2024-04-27,Eastern Africa,Kenya,Baringo,Protests,Peaceful protest,1,0,7143.0,Demonstrations,1535.0,0.7197,36.0185
2024-05-04,Eastern Africa,Kenya,Baringo,Protests,Peaceful protest,1,0,141.0,Demonstrations,1535.0,0.7197,36.0185
2024-05-11,Eastern Africa,Kenya,Baringo,Protests,Peaceful protest,2,0,7143.0,Demonstrations,1535.0,0.7197,36.0185
2024-05-25,Eastern Africa,Kenya,Baringo,Protests,Peaceful protest,1,0,7143.0,Demonstrations,1535.0,0.7197,36.0185
2024-06-22,Eastern Africa,Kenya,Baringo,Protests,Peaceful protest,1,0,7143.0,Demonstrations,1535.0,0.7197,36.0185
